geofips,metro_name,airports,gdp_2017,gdp_2018,gdp_2019,gdp_2021,gdp_2022,pop_2017,pop_2018,pop_2019,pop_2021,pop_2022
45060,Syracuse,SYR,39834482,39856281,41019276,40906463,41061053,651164,650281,648593,"657,253","655,021"
48620,Wichita,ICT,35871059,35828911,36501383,36019714,37145061,637511,637519,640218,"648,514","649,687"
37340,Palm Bay,MLB,24133063,25244764,26348425,29191295,30082101,587769,595203,601942,"617,900","630,707"
12260,Augusta-Richmond County,AGS,27076189,27499759,27974192,28260356,28397603,600276,604221,608980,"616,187","623,985"
27140,Jackson (MS),JAN,27649880,27640828,27543835,28383035,28663045,599358,597376,594806,"614,737","610,703"
25420,Harrisburg,MDT,38684588,39391581,40622816,40605053,40958399,570784,574149,577941,"599,732","603,332"
44060,Spokane,GEG,25479986,26764528,27522137,29994778,30011183,550259,558827,568521,"593,129","598,023"
45780,Toledo,TOL,35347722,35981768,37279062,37442281,36662885,644364,643089,641816,"602,291","600,519"
22220,Fayetteville (AR),XNA,26264981,27042602,27665953,31427375,32339332,515616,525239,534904,"563,008","576,967"
16860,Chattanooga,CHA,29616001,29878030,30328402,32135319,34002507,555953,560832,565194,"567,446","574,461"
42540,Scranton,AVP,26658860,26778970,27148409,26796780,26657427,555655,555215,553885,"568,091","568,270"
35300,New Haven,HVN,49698505,50711147,51494190,52016888,52659909,857748,856971,854757,"568,450","568,402"
38860,Portland,PWM,31325495,32448041,33034941,36340168,37516986,531899,535232,538500,"558,302","563,159"
39900,Reno,RNO,29361104,28776037,29840002,32927151,33592812,460605,468335,475642,"559,403","562,773"
29540,Lancaster,LNS,28779773,29307162,29549059,29558896,29968719,541332,543969,545724,"556,292","556,660"
37860,Pensacola,PNS,20210863,20439612,20848405,22330360,22765668,487298,494399,502629,"517,209","522,059"
26620,Huntsville,HSV,27520607,28602244,30151314,32306829,33486281,455892,463181,471824,"503,974","514,473"
30460,Lexington-Fayette,LEX,28671245,29465225,30025380,29679198,30453117,512381,514938,517056,"516,639","517,748"
28660,Killeen,GRK,18366880,18495677,18834637,19966937,20162704,442998,451272,460303,"487,012","494,449"
44180,Springfield (MO),SGF,19677536,20071555,20718234,21815653,22232799,462090,466273,470300,"481,693","486,931"
42220,Santa Rosa,STS,28853518,30213474,30422053,31391109,31368529,502469,498643,494336,"484,519","482,669"
29620,Lansing,LAN,25569757,26063562,26363111,27549292,28450372,548380,548674,550391,"459,596","471,983"
48900,Wilmington,ILM,14061718,14486767,15181317,16553478,17014942,289447,294273,297533,"437,882","454,390"
23060,Fort Wayne,FWA,22444587,23295008,23463172,23326616,24291646,405445,409126,413263,"451,787","454,519"
18580,Corpus Christi,CRP,21073008,21758642,22343137,22092132,21041917,428445,428697,429024,"447,569","446,640"
42200,Santa Maria,"SBA, SMX",27474155,28505410,28901426,31365482,31147307,445298,445780,446499,"437,521","443,915"
41500,Salinas,MRY,25923476,26770519,27426311,27192351,26728936,434534,433950,434061,"437,158","432,884"
31700,Manchester,MHT,25959140,26455143,27030133,29685180,30015576,413204,414630,417025,"424,413","427,493"
15180,Brownsville,"BRO, HRL",10734203,10950425,11200319,11660469,12032752,422227,422139,423163,"422,636","424,911"
42340,Savannah,SAV,21178366,21468332,22165027,23648248,24499860,386394,389453,393353,"409,428","418,277"
25060,Gulfport,GPT,17329568,16998219,17452637,18617250,18726497,412754,414686,417665,"418,527","420,054"
11700,Asheville,AVL,19857995,20527515,21417415,21458369,22106552,454855,459314,462680,"410,828","413,969"
